Column Name,Count,Files
year,199,
mon,198,
day,196,
n-sat,177,
y-d,154,
y-',154,
y-'',154,
x-h,152,
x-m,152,
x-s,152,
n-obs,125,
hour,62,
min,59,
sec,58,
mag,45,
band,40,
x,38,
y,37,
n-mpc,36,
jd,23,
dec,23,
ra,22,
na+np,22,
O-C(X),19,
O-C(Y),19,
Position angle,19,
n-ref,18,
X,14,
Y,14,
Z,13,
sigma,11,
s,10,
n-tel,10,
s-x,9,
s-y,9,
Flag Q,9,
S min,9,
Flag R,9,
e-ra,9,
e-dec,9,
O-C,6,
Epoch_TCB,6,
n-ober,5,
cat,5,
n,5,
oc-ra,5,
oc-dec,5,
u-x,5,
u-y,5,
type,4,
mjd,3,
parallax,3,
dra,3,
ddec,3,
AeP/AoP,3,
e-time,3,
dt*v,3,
imp.par,3,
e-imp.par,3,
d-imp.par,3,
v,3,
e-v,3,
d-v,3,
rms,3,
x2,3,
sat,3,
Reference to publication,3,
n-ser,2,
n-ccd,2,
na,2,
np,2,
r,2,
ta,2,
tp,2,
x(0),2,
y(0),2,
ax,2,
ay,2,
bx,2,
by,2,
bz,2,
sat1,2,
sat2,2,
s-sec,2,
s-mas,2,
delta-sec,2,
delta-mas,2,
z,2,
j-x-h,2,
j-x-m,2,
j-x-s,2,
j-y-d,2,
j-y-',2,
j-y-'',2,
5-x-h,2,
5-x-m,2,
5-x-s,2,
5-y-d,2,
5-y-',2,
5-y-'',2,
Parallax,2,
Filter,2,
P,2,
mag R,2,
id,1,
n-plate,1,
j1-x,1,
j2-x,1,
j3-x,1,
j4-x,1,
j1-y,1,
j2-y,1,
j3-y,1,
j4-y,1,
factor,1,
Origin of the coordinates,1,
alpha.hours,1,
delta.Degrees,1,
month,1,
JD,1,
sce,1,
gmt-h,1,
gmt-m,1,
Type of coordinate,1,
"Apparent distance, arcsec",1,
Refraction,1,
n-line,1,
x/y,1,
x-p,1,
y-p,1,
n-f,1,
n-c,1,
x-j1,1,
x-j2,1,
x-j3,1,
x-j4,1,
y-j1,1,
y-j2,1,
y-j3,1,
y-j4,1,
scale,1,
n-opp,1,
ev,1,
eclipsed or occulted,1,
dt,1,
dx,1,
dz,1,
jed,1,
ph1,1,
ph2,1,
weight,1,
note(latitude correction is not accurate=1),1,
wavelength,1,
n-tele,1,
err,1,
v-mag,1,
Shift,1,
Impact paramerter,1,
O-C(IP),1,
F1,1,
F2,1,
C15,1,
n-pla,1,
Epoch,1,
epoch,1,
say,1,
mon.1,1,
tele/cat,1,
Model,1,
s-ocx,1,
s-ocy,1,
cml,1,
Impact parameter in arcseconds,1,
Impact parameter in kilometers,1,
s-arc,1,
s-kil,1,
"dtau, seconds",1,
"P, deg",1,
C,1,
magb,1,
magv,1,
siga,1,
sigd,1,
ro,1,
s-ra,1,
s-dec,1,
x-cal,1,
y-cal,1,
Separation,1,
wave length,1,
tdb,1,
frame,1,
size,1,
rac,1,
decc,1,
twist,1,
sample,1,
line,1,
date,1,
u,1,
Type,1,
x-h-j,1,
x-m-j,1,
x-s-j,1,
j-y-j,1,
y-'-j,1,
y-''-j,1,
Exposure time,1,
Time of exposition,1,
n-site,1,
dau,1,
p1,1,
ex,1,
c72,1,
m-mpc,1,
c71,1,
mag V,1,
